episode;loss
0;0.100000
1;0.099800
2;0.100000
3;0.100001
4;0.100002
5;0.100002
6;0.100002
7;0.100003
8;0.099539
9;0.100002
10;0.099672
11;0.100022
12;0.099583
13;0.098939
14;0.100019
15;0.098890
16;0.096949
17;0.099534
18;0.098897
19;0.097640
20;0.096852
21;0.099344
22;0.099408
23;0.098723
24;0.094303
25;0.094611
26;0.097785
27;0.092022
28;0.096966
29;0.087873
30;0.099478
31;0.102108
32;0.094836
33;0.094791
34;0.096620
35;0.092382
36;0.090988
37;0.091533
38;0.091423
39;0.097859
40;0.087966
41;0.103818
42;0.092170
43;0.096207
44;0.100610
45;0.092752
46;0.100859
47;0.095192
48;0.093046
49;0.089787
50;0.091345
51;0.092100
52;0.085408
53;0.093239
54;0.097126
55;0.087433
56;0.091524
57;0.094049
58;0.083528
59;0.090828
60;0.094598
61;0.092557
62;0.086765
63;0.101283
64;0.088291
65;0.101650
66;0.096159
67;0.086864
68;0.087221
69;0.093235
70;0.085277
71;0.089337
72;0.097711
73;0.086896
74;0.084015
75;0.089158
76;0.083080
77;0.101407
78;0.095961
79;0.085926
80;0.101077
81;0.095824
82;0.086882
83;0.084536
84;0.089491
85;0.098282
86;0.107050
87;0.100070
88;0.083905
89;0.083337
90;0.086846
91;0.092723
92;0.096324
93;0.085343
94;0.096876
95;0.093934
96;0.106344
97;0.091476
98;0.088554
99;0.083886
100;0.083950
101;0.085615
102;0.094979
103;0.097142
104;0.094104
105;0.100039
106;0.091891
107;0.088909
108;0.091648
109;0.091538
110;0.100222
111;0.095217
112;0.087999
113;0.082380
114;0.094265
115;0.089209
116;0.082724
117;0.103570
118;0.090469
119;0.097681
120;0.093972
121;0.083669
122;0.095025
123;0.091346
124;0.087714
125;0.092154
126;0.093962
127;0.091256
128;0.102344
129;0.093071
130;0.097472
131;0.084689
132;0.093208
133;0.096829
134;0.090799
135;0.091674
136;0.092146
137;0.082545
138;0.093103
139;0.098419
140;0.095615
141;0.089805
142;0.093424
143;0.090683
144;0.082356
145;0.075611
146;0.077780
147;0.093011
148;0.088875
149;0.088476
150;0.083601
151;0.086373
152;0.097698
153;0.096510
154;0.081428
155;0.096477
156;0.091746
157;0.070374
158;0.096385
159;0.092129
160;0.094133
161;0.067875
162;0.090483
163;0.098654
164;0.092974
165;0.091519
166;0.090151
167;0.085362
