episode;loss
0;192.604436
1;131.081108
2;88.783665
3;109.213156
4;69.983142
5;34.903049
6;48.686406
7;34.973352
8;36.135135
9;31.883489
10;18.653277
11;5.089252
12;14.559136
13;21.206992
14;9.774286
15;12.336616
16;14.987456
17;8.397696
18;9.346790
19;5.210496
20;5.095090
21;7.707786
22;4.806198
23;7.303445
24;7.174996
25;7.010385
26;6.962045
27;7.705679
28;4.485473
29;4.185847
30;3.694747
31;5.351193
32;7.562975
33;7.863677
34;5.043981
35;5.505777
36;4.905743
37;3.549018
38;5.515125
39;6.614244
40;3.523902
41;5.487578
42;5.323456
43;7.549774
44;6.435536
45;4.492240
46;4.041757
47;5.102983
48;4.993152
49;3.265141
50;7.361617
51;3.213061
52;4.589362
53;3.309663
54;4.673783
55;7.400754
56;7.081414
57;2.519972
58;4.237016
59;3.246697
60;4.097189
61;4.181423
62;4.348420
63;4.565210
64;3.616576
65;3.349750
66;5.706267
67;4.266560
68;3.425081
69;3.468827
70;5.028780
71;4.193828
72;2.510190
73;2.993914
74;5.981130
75;2.832245
76;6.144257
77;3.656386
78;6.074410
79;4.868598
80;2.473371
81;1.447856
82;5.552245
83;3.797413
84;3.156463
85;4.310153
86;3.989431
87;3.889713
88;1.463921
89;1.773746
90;3.481180
91;2.286172
92;1.524641
93;1.599895
94;1.569572
95;4.299326
96;1.761673
97;2.182188
98;1.550452
99;2.383312
100;2.205154
101;2.937565
102;1.756156
103;2.640788
104;3.458348
105;2.370020
106;1.705696
107;3.279122
108;2.788078
109;0.883774
110;2.826660
111;3.501157
112;1.769858
113;1.683558
114;2.104231
115;1.687920
116;2.473233
117;2.156194
118;1.451365
119;1.091641
120;0.873990
121;2.436108
122;1.318638
123;2.074336
124;1.737100
125;2.044633
126;1.959014
127;1.415804
128;2.102526
129;3.113285
130;2.193822
131;1.091502
132;2.357606
133;0.992572
134;1.552578
135;2.043509
136;1.058057
137;1.561161
138;1.463194
139;1.773724
140;1.558798
141;1.338486
142;0.964057
143;1.405435
144;1.664077
145;0.801122
146;1.419165
147;0.635573
148;1.658731
149;1.315363
150;1.386755
151;1.206584
152;1.039813
153;0.830123
154;0.929797
155;1.071319
156;0.677770
157;0.739247
158;1.304107
159;0.468277
160;1.535646
161;1.502260
162;0.887479
163;1.761496
164;0.975513
165;0.748924
166;1.499992
167;0.916160
168;1.273323
169;1.012206
170;1.652041
171;0.553865
172;1.175849
173;0.595176
174;1.350572
175;0.896445
176;1.140974
177;0.965740
178;0.861107
179;0.846952
180;0.930644
181;0.634144
182;1.076798
183;0.632728
184;1.303438
185;1.016859
186;0.788338
187;1.320418
188;0.654555
189;1.078041
190;0.621656
191;0.461616
192;0.891573
193;0.538559
194;0.683835
195;1.117097
196;0.749213
197;0.793034
198;0.569750
199;0.747359
200;0.953505
201;0.744037
202;0.630054
203;0.824424
204;0.587282
205;0.392733
206;0.649496
207;0.749590
208;0.456910
209;0.489392
210;0.502105
211;1.065673
212;0.443760
213;0.827378
214;0.453610
215;0.463528
216;0.587513
217;0.741618
218;0.550280
219;0.370832
220;0.369092
221;0.462114
222;0.493674
223;0.449061
224;0.557367
225;0.490951
226;0.317997
227;0.675470
228;0.359014
229;0.365210
230;0.466782
231;0.414711
232;0.472994
233;0.230954
234;0.596163
235;0.473640
236;0.589385
237;0.400975
238;0.346342
239;0.452734
240;0.481284
241;0.401268
242;0.341263
243;0.390436
244;0.442280
245;0.342678
246;0.404312
247;0.175223
248;0.618169
249;0.463251
250;0.314459
251;0.282021
252;0.383011
253;0.349076
254;0.301418
255;0.440433
256;0.276096
257;0.200869
258;0.322290
259;0.522875
260;0.235722
261;0.447232
262;0.338603
263;0.465797
264;0.307405
265;0.152510
266;0.245989
267;0.197794
268;0.170675
269;0.358099
270;0.459164
271;0.317038
272;0.350254
273;0.286559
274;0.147351
275;0.171817
276;0.347733
277;0.333732
278;0.396201
279;0.154798
280;0.153730
281;0.167307
282;0.215471
283;0.257695
284;0.319282
285;0.327686
286;0.157961
287;0.287350
288;0.193019
289;0.354265
290;0.140252
291;0.195446
292;0.401744
293;0.167776
294;0.124353
295;0.212654
296;0.187453
297;0.252806
298;0.254503
299;0.174982
300;0.211353
301;0.184332
302;0.175103
303;0.181285
304;0.162382
305;0.185980
306;0.213900
307;0.105656
308;0.238825
309;0.164557
310;0.133126
311;0.103244
312;0.197557
313;0.118253
314;0.128532
315;0.150367
316;0.128175
317;0.155623
318;0.085343
319;0.109208
320;0.099863
321;0.097563
322;0.180658
323;0.199761
324;0.155147
325;0.201858
326;0.126111
327;0.091606
328;0.106479
329;0.144080
330;0.096484
331;0.200712
332;0.140455
333;0.114488
334;0.129193
335;0.112127
336;0.094123
337;0.135181
338;0.070580
339;0.106217
340;0.119675
341;0.164862
342;0.100669
343;0.099234
344;0.123202
345;0.094615
346;0.072940
347;0.064399
348;0.125166
349;0.092715
350;0.066124
351;0.088456
352;0.053317
353;0.113307
354;0.134201
355;0.123618
356;0.085325
357;0.077491
358;0.099532
359;0.066638
360;0.098059
361;0.073976
362;0.124447
363;0.106430
364;0.089743
365;0.053878
366;0.082134
367;0.037523
368;0.074591
369;0.066282
370;0.075353
371;0.055780
372;0.085618
373;0.086537
374;0.042612
375;0.112776
376;0.057804
377;0.076760
378;0.104250
379;0.067197
380;0.084169
381;0.049061
382;0.073423
383;0.084141
384;0.062386
385;0.068735
386;0.065939
387;0.076245
388;0.068062
389;0.050955
390;0.059792
391;0.090681
392;0.050345
393;0.049319
394;0.076767
395;0.067826
396;0.070970
397;0.072659
398;0.048965
399;0.042659
400;0.066115
401;0.047947
402;0.038744
403;0.064276
404;0.047215
405;0.054491
406;0.042292
407;0.017396
408;0.071908
409;0.046719
410;0.053372
411;0.055008
412;0.029574
413;0.065768
414;0.039445
415;0.033975
416;0.029739
417;0.046133
418;0.023673
419;0.039532
420;0.058755
421;0.024188
422;0.024582
423;0.039844
424;0.050866
425;0.032390
426;0.025992
427;0.034528
428;0.034845
429;0.032090
430;0.031210
431;0.030910
432;0.022620
433;0.039553
434;0.027456
435;0.046759
436;0.032855
437;0.029378
438;0.017045
439;0.026620
440;0.033033
441;0.032749
442;0.029893
443;0.033121
444;0.033035
445;0.021444
446;0.040710
447;0.026746
448;0.035319
449;0.029311
450;0.023557
451;0.036948
452;0.019367
453;0.023066
454;0.022343
455;0.039805
456;0.017121
457;0.027531
458;0.016344
459;0.023755
460;0.015158
461;0.021144
462;0.020792
463;0.009162
464;0.009711
465;0.025024
466;0.024113
467;0.018227
468;0.024378
469;0.016969
470;0.028763
471;0.018794
472;0.017287
473;0.016374
474;0.010222
475;0.029583
476;0.032390
477;0.025063
478;0.016255
479;0.013891
480;0.019772
481;0.007875
482;0.016624
483;0.023359
484;0.018918
485;0.017458
486;0.016445
487;0.014644
488;0.016827
489;0.019719
490;0.022127
491;0.023890
492;0.017750
493;0.016972
494;0.014972
495;0.021856
496;0.020347
497;0.015046
498;0.016557
499;0.011142
500;0.014794
501;0.015629
502;0.008973
503;0.014877
504;0.015153
505;0.014981
506;0.011265
507;0.007850
508;0.013614
509;0.009961
510;0.013871
511;0.011147
512;0.012321
513;0.012433
514;0.006255
515;0.014793
516;0.004953
517;0.014206
518;0.005399
519;0.005372
520;0.013688
521;0.007615
522;0.009068
523;0.006045
524;0.011489
525;0.011578
526;0.008733
527;0.007180
528;0.010595
529;0.012822
530;0.008679
531;0.010312
532;0.010189
533;0.009155
534;0.006071
535;0.010993
536;0.009204
537;0.007637
538;0.009264
539;0.012834
540;0.013322
541;0.005814
542;0.010185
543;0.008989
544;0.010760
545;0.007080
546;0.011373
547;0.004611
548;0.007969
549;0.005999
550;0.009405
551;0.009074
552;0.006189
553;0.009152
554;0.004008
555;0.005147
556;0.008956
557;0.005599
558;0.006792
559;0.005798
560;0.006474
561;0.005733
562;0.008426
563;0.005393
564;0.006446
565;0.005063
566;0.005854
567;0.005236
568;0.009630
569;0.003046
570;0.003632
571;0.003606
572;0.005802
573;0.003201
574;0.003917
575;0.006199
576;0.004183
577;0.004461
578;0.004441
579;0.003977
580;0.005145
581;0.005831
582;0.004452
583;0.003722
584;0.005395
585;0.006975
586;0.004830
587;0.003760
588;0.005543
589;0.004270
590;0.006664
591;0.000928
592;0.005830
593;0.003166
594;0.005948
595;0.003861
596;0.004637
597;0.003006
598;0.004413
599;0.003008
600;0.006071
601;0.003537
602;0.003737
603;0.001833
604;0.003384
605;0.004678
606;0.003302
607;0.001861
608;0.002463
609;0.002329
610;0.003460
611;0.002819
612;0.002909
613;0.002364
614;0.004374
615;0.002540
616;0.004712
617;0.001919
618;0.003528
619;0.003119
620;0.003356
621;0.002554
622;0.002558
623;0.002408
624;0.002940
625;0.003389
626;0.003192
627;0.002454
628;0.002240
629;0.001946
630;0.002830
631;0.003576
632;0.002264
633;0.004202
634;0.003526
635;0.003746
636;0.001581
637;0.002664
638;0.002537
639;0.002564
640;0.002275
641;0.002066
642;0.002054
643;0.001736
644;0.002401
645;0.002148
646;0.002148
647;0.001500
648;0.001048
649;0.002298
650;0.001298
651;0.001589
652;0.000842
653;0.001469
654;0.002000
655;0.001506
656;0.002043
657;0.001224
658;0.002288
659;0.001482
660;0.001862
661;0.001772
662;0.001184
663;0.001106
664;0.001645
665;0.001488
666;0.001434
667;0.001090
668;0.001539
669;0.001253
670;0.000548
671;0.001979
672;0.001172
673;0.000985
674;0.001188
675;0.000663
676;0.000941
677;0.001130
678;0.001776
679;0.001842
680;0.001627
681;0.001121
682;0.000814
683;0.001235
684;0.001135
685;0.001126
686;0.001237
687;0.000984
688;0.001540
689;0.001202
690;0.001088
691;0.001255
692;0.001167
693;0.001028
694;0.001332
695;0.001718
696;0.001304
697;0.000757
698;0.000817
699;0.000960
700;0.000700
701;0.001198
702;0.001323
703;0.000701
704;0.001167
705;0.000797
706;0.000771
707;0.000991
708;0.000739
709;0.000890
710;0.000699
711;0.000831
712;0.001004
713;0.000713
714;0.000461
715;0.000900
716;0.001164
717;0.001095
718;0.000478
719;0.000849
720;0.001009
721;0.000357
722;0.000452
723;0.000496
724;0.000762
725;0.000628
726;0.000532
727;0.000596
728;0.000689
729;0.000830
730;0.001089
731;0.000587
732;0.000545
733;0.000801
734;0.000826
735;0.000651
736;0.000559
737;0.001081
738;0.000639
739;0.000674
740;0.000584
741;0.000861
742;0.000317
743;0.000361
744;0.000343
745;0.000640
746;0.000553
747;0.000743
748;0.000567
749;0.000449
750;0.000588
751;0.000506
752;0.000586
753;0.000704
754;0.000604
755;0.000448
756;0.000607
757;0.000504
758;0.000610
759;0.000595
760;0.000408
761;0.000411
762;0.000477
763;0.000306
764;0.000587
765;0.000480
766;0.000380
767;0.000407
